Altitude [m],Time [s],,,,
2060.74,85.567,,,,
2060.62,85.672,,,,
2060.19,85.822,,,,
2059.88,85.904,,,,
2059.97,85.985,,,,
2059.87,86.066,,,,
2059.87,86.147,,,,
2059.79,86.228,,,,
2059.93,86.309,,,,
2059.85,86.39,,,,
2059.72,86.474,,,,
2059.35,86.555,,,,
2059.35,86.637,,,,
2059.56,86.718,,,,
2059.26,86.799,,,,
2059.12,86.88,,,,
2058.99,86.962,,,,
2058.55,87.043,,,,
2058.55,87.123,,,,
2058.57,87.207,,,,
2058.51,87.288,,,,
2058.08,87.37,,,,
2057.72,87.451,,,,
2057.41,87.532,,,,
2057.32,87.613,,,,
2057.52,87.694,,,,
2057.23,87.776,,,,
2056.92,87.859,,,,
2056.49,87.941,,,,
2056.7,88.022,,,,
2056.62,88.102,,,,
2056.62,88.183,,,,
2056.75,88.265,,,,
2056.36,88.346,,,,
2056.19,88.427,,,,
2056.46,88.509,,,,
2056.15,88.592,,,,
2056.15,88.674,,,,
